month,Referee,matches_played,total_fouls,total_cards,fouls_per_match,cards_per_match
8,"R Jones",2,48,21,24.00,10.50
8,"T Robinson",1,27,12,27.00,12.00
8,"J Gillett",1,31,10,31.00,10.00
8,"S Hooper",2,49,17,24.50,8.50
8,"C Pawson",2,53,24,26.50,12.00
8,"M Oliver",3,61,27,20.33,9.00
8,"T Harrington",1,29,8,29.00,8.00
8,"S Barrott",2,49,25,24.50,12.50
8,"A Taylor",2,47,24,23.50,12.00
8,"C Kavanagh",2,42,26,21.00,13.00
8,"D Bond",1,27,12,27.00,12.00
8,"M Salisbury",1,19,11,19.00,11.00
8,"D Coote",2,61,22,30.50,11.00
8,"D England",1,26,10,26.00,10.00
8,"S Attwell",2,24,25,12.00,12.50
8,"J Smith",1,17,10,17.00,10.00
8,"L Smith",1,30,14,30.00,14.00
9,"J Gillett",3,69,33,23.00,11.00
9,"R Jones",2,52,30,26.00,15.00
9,"A Taylor",3,63,28,21.00,9.33
9,"S Attwell",2,49,18,24.50,9.00
9,"S Barrott",3,73,39,24.33,13.00
9,"T Harrington",2,48,19,24.00,9.50
9,"T Robinson",2,60,16,30.00,8.00
9,"M Oliver",3,69,31,23.00,10.33
9,"D Bond",1,12,15,12.00,15.00
9,"C Pawson",1,22,8,22.00,8.00
9,"C Kavanagh",2,53,20,26.50,10.00
9,"P Bankes",2,43,16,21.50,8.00
9,"D England",1,23,7,23.00,7.00
9,"S Allison",1,32,12,32.00,12.00
9,"J Brooks",1,20,13,20.00,13.00
9,"D Coote",1,19,15,19.00,15.00
9,"S Hooper",1,13,14,13.00,14.00
9,"A Madley",1,24,13,24.00,13.00
9,"J Smith",1,26,11,26.00,11.00
10,"S Hooper",2,51,22,25.50,11.00
10,"T Harrington",2,37,27,18.50,13.50
10,"A Madley",3,70,48,23.33,16.00
10,"D Bond",2,54,25,27.00,12.50
10,"P Bankes",2,34,24,17.00,12.00
10,"A Taylor",3,66,31,22.00,10.33
10,"C Pawson",2,45,23,22.50,11.50
10,"R Jones",2,46,21,23.00,10.50
10,"C Kavanagh",2,36,34,18.00,17.00
10,"D Coote",2,37,22,18.50,11.00
10,"D England",1,19,19,19.00,19.00
10,"M Oliver",2,44,28,22.00,14.00
10,"S Barrott",1,19,11,19.00,11.00
10,"J Brooks",2,41,13,20.50,6.50
10,"T Robinson",1,21,12,21.00,12.00
10,"L Smith",1,17,11,17.00,11.00
11,"J Brooks",2,62,22,31.00,11.00
11,"M Oliver",3,60,29,20.00,9.67
11,"T Robinson",2,42,22,21.00,11.00
11,"T Harrington",2,49,32,24.50,16.00
11,"P Bankes",3,54,31,18.00,10.33
11,"A Madley",2,59,20,29.50,10.00
11,"A Taylor",4,79,37,19.75,9.25
11,"C Pawson",2,47,21,23.50,10.50
11,"R Jones",3,97,34,32.33,11.33
11,"S Attwell",3,55,35,18.33,11.67
11,"D Bond",1,24,10,24.00,10.00
11,"M Salisbury",1,21,10,21.00,10.00
11,"T Bramall",1,26,10,26.00,10.00
11,"S Barrott",2,42,17,21.00,8.50
11,"D Coote",1,26,11,26.00,11.00
11,"D England",2,52,31,26.00,15.50
11,"S Hooper",1,11,9,11.00,9.00
11,"C Kavanagh",1,18,15,18.00,15.00
12,"S Attwell",3,62,20,20.67,6.67
12,"J Brooks",3,67,26,22.33,8.67
12,"D Bond",3,73,49,24.33,16.33
12,"C Kavanagh",5,104,52,20.80,10.40
12,"C Pawson",5,112,60,22.40,12.00
12,"J Smith",1,16,12,16.00,12.00
12,"M Salisbury",3,77,41,25.67,13.67
12,"M Oliver",4,88,45,22.00,11.25
12,"A Madley",2,44,19,22.00,9.50
12,"T Harrington",4,85,41,21.25,10.25
12,"S Barrott",4,80,36,20.00,9.00
12,"L Smith",2,49,19,24.50,9.50
12,"P Bankes",3,54,34,18.00,11.33
12,"S Hooper",5,98,49,19.60,9.80
12,"T Robinson",2,40,18,20.00,9.00
12,"R Jones",3,71,35,23.67,11.67
12,"D England",3,65,21,21.67,7.00
12,"A Taylor",5,120,57,24.00,11.40
12,"T Bramall",2,48,14,24.00,7.00
1,"P Bankes",4,86,28,21.50,7.00
1,"A Madley",3,59,43,19.67,14.33
1,"J Gillett",1,21,9,21.00,9.00
1,"J Brooks",3,60,27,20.00,9.00
1,"T Robinson",2,40,22,20.00,11.00
1,"M Salisbury",3,58,22,19.33,7.33
1,"S Attwell",2,39,17,19.50,8.50
1,"A Taylor",4,77,29,19.25,7.25
1,"D Bond",1,24,11,24.00,11.00
1,"M Oliver",2,53,23,26.50,11.50
1,"R Jones",2,53,22,26.50,11.00
1,"C Pawson",2,48,15,24.00,7.50
1,"C Kavanagh",2,45,20,22.50,10.00
1,"S Barrott",3,53,35,17.67,11.67
1,"D England",2,51,17,25.50,8.50
1,"S Hooper",2,47,23,23.50,11.50
1,"T Harrington",2,46,21,23.00,10.50
1,"T Bramall",1,23,7,23.00,7.00
2,"S Hooper",3,58,24,19.33,8.00
2,"D England",3,72,29,24.00,9.67
2,"D Bond",2,43,22,21.50,11.00
2,"M Oliver",4,111,25,27.75,6.25
2,"C Kavanagh",2,48,17,24.00,8.50
2,"A Madley",4,99,54,24.75,13.50
2,"J Gillett",4,94,47,23.50,11.75
2,"J Brooks",1,25,11,25.00,11.00
2,"P Bankes",3,58,34,19.33,11.33
2,"S Attwell",2,39,13,19.50,6.50
2,"K Kavanagh",1,27,11,27.00,11.00
2,"S Barrott",2,48,21,24.00,10.50
2,"R Jones",2,35,32,17.50,16.00
2,"T Bramall",2,36,18,18.00,9.00
2,"A Taylor",2,34,20,17.00,10.00
2,"C Pawson",2,45,17,22.50,8.50
2,"T Harrington",1,20,11,20.00,11.00
2,"M Salisbury",1,26,14,26.00,14.00
2,"T Robinson",1,29,8,29.00,8.00
3,"C Kavanagh",2,39,14,19.50,7.00
3,"S Barrott",1,18,10,18.00,10.00
3,"S Hooper",2,35,18,17.50,9.00
3,"L Smith",1,19,10,19.00,10.00
3,"J Gillett",1,15,11,15.00,11.00
3,"S Attwell",1,27,10,27.00,10.00
3,"T Robinson",1,25,14,25.00,14.00
3,"J Brooks",1,31,9,31.00,9.00
3,"A Taylor",1,19,11,19.00,11.00
3,"M Salisbury",2,39,16,19.50,8.00
3,"D Bond",1,20,11,20.00,11.00
3,"R Jones",1,25,6,25.00,6.00
3,"C Pawson",1,20,7,20.00,7.00
3,"A Madley",1,23,11,23.00,11.00
3,"T Bramall",1,12,10,12.00,10.00
4,"J Brooks",2,34,17,17.00,8.50
4,"T Harrington",2,50,16,25.00,8.00
4,"J Gillett",3,64,32,21.33,10.67
4,"R Jones",3,75,36,25.00,12.00
4,"S Attwell",3,63,37,21.00,12.33
4,"D England",4,89,34,22.25,8.50
4,"P Bankes",4,98,45,24.50,11.25
4,"A Madley",2,46,17,23.00,8.50
4,"S Barrott",3,65,32,21.67,10.67
4,"C Pawson",3,64,30,21.33,10.00
4,"A Taylor",3,74,24,24.67,8.00
4,"T Robinson",2,44,24,22.00,12.00
4,"S Hooper",3,51,33,17.00,11.00
4,"M Oliver",1,24,9,24.00,9.00
4,"C Kavanagh",4,74,42,18.50,10.50
4,"M Salisbury",3,64,28,21.33,9.33
4,"D Bond",1,20,9,20.00,9.00
4,"T Bramall",2,40,26,20.00,13.00
4,"O Oliver",1,21,15,21.00,15.00
