Date,HomeTeam,AwayTeam,HTHG,HTAG,FTHG,FTAG
14/09/24,"Aston Villa",Everton,1,2,3,2
15/09/24,Wolves,Newcastle,1,0,1,2
21/09/24,"Aston Villa",Wolves,0,1,3,1
28/09/24,Everton,"Crystal Palace",0,1,2,1
06/10/24,Brighton,Tottenham,0,2,3,2
19/10/24,"Man United",Brentford,0,1,2,1
19/10/24,Southampton,Leicester,2,0,2,3
02/11/24,Liverpool,Brighton,0,1,2,1
03/11/24,Tottenham,"Aston Villa",0,1,4,1
04/11/24,Fulham,Brentford,0,1,2,1
09/11/24,Brighton,"Man City",0,1,2,1
10/11/24,"Nott'm Forest",Newcastle,1,0,1,3
08/12/24,Ipswich,Bournemouth,1,0,1,2
08/12/24,Tottenham,Chelsea,2,1,3,4
15/12/24,"Man City","Man United",1,0,1,2
26/12/24,Chelsea,Fulham,1,0,1,2
16/01/25,"Man United",Southampton,0,1,3,1
26/01/25,Tottenham,Leicester,1,0,1,2
01/02/25,Newcastle,Fulham,1,0,1,2
03/02/25,Chelsea,"West Ham",0,1,2,1
22/02/25,"Aston Villa",Chelsea,0,1,2,1
08/03/25,Liverpool,Southampton,0,1,3,1
05/04/25,Ipswich,Wolves,1,0,1,2
20/04/25,Fulham,Chelsea,1,0,1,2
26/04/25,Southampton,Fulham,1,0,1,2
03/05/25,Arsenal,Bournemouth,1,0,1,2
18/05/25,Brentford,Fulham,2,1,2,3
19/05/25,Brighton,Liverpool,1,2,3,2
25/05/25,Tottenham,Brighton,1,0,1,4
