team,total_fouls,total_cards,fouls_to_card_ratio
Liverpool,430,67,6.42
Wolves,480,76,6.32
Tottenham,446,71,6.28
Brighton,438,75,5.84
Arsenal,400,70,5.71
Newcastle,394,69,5.71
"West Ham",443,81,5.47
"Aston Villa",406,76,5.34
"Crystal Palace",417,79,5.28
Fulham,432,82,5.27
Everton,430,82,5.24
Bournemouth,514,100,5.14
Brentford,319,63,5.06
Southampton,459,92,4.99
"Man City",287,59,4.86
Ipswich,430,89,4.83
Leicester,420,87,4.83
"Man United",413,86,4.80
"Nott'm Forest",391,87,4.49
Chelsea,436,100,4.36
