Team,total_shots,total_shots_on_target,shot_accuracy_rate_percentage
Brentford,441,184,41.72
Tottenham,497,185,37.22
Wolves,431,160,37.12
Chelsea,595,218,36.64
"Crystal Palace",516,186,36.05
"Nott'm Forest",463,166,35.85
Brighton,533,191,35.83
"Man City",607,217,35.75
Liverpool,648,231,35.65
Everton,405,144,35.56
"Aston Villa",484,170,35.12
Bournemouth,580,202,34.83
Arsenal,547,188,34.37
Ipswich,376,127,33.78
Newcastle,524,174,33.21
Fulham,521,173,33.21
Leicester,335,111,33.13
"Man United",527,174,33.02
Southampton,343,111,32.36
"West Ham",476,146,30.67
