Team,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses
Arsenal,11,6,2,9,8,2
"Aston Villa",11,7,1,8,2,9
Bournemouth,8,4,7,7,7,5
Brentford,9,4,6,7,4,8
Brighton,8,8,3,8,5,6
Chelsea,12,5,2,8,4,7
"Crystal Palace",6,7,6,7,7,5
Everton,5,9,5,6,6,7
Fulham,7,5,7,8,4,7
Ipswich,1,4,14,3,6,10
Leicester,4,3,12,2,4,13
Liverpool,14,4,1,11,5,3
"Man City",13,3,3,8,5,6
"Man United",7,3,9,4,6,9
Newcastle,12,2,5,8,4,7
"Nott'm Forest",9,5,5,10,3,6
Southampton,1,3,15,1,3,15
Tottenham,6,3,10,5,2,12
"West Ham",5,5,9,6,5,8
Wolves,6,3,10,6,3,10
